user_id,chat_id,language,number_messages,handling_time,start_time,website,website_summary
User 1392,14298,English,11,422.0,2018-06-21 11:56:08.689435,Website A,Website A
User 1392,14299,English,18,1315.0,2018-06-21 11:24:59.521923,Website G,Other
User 1391,14302,English,22,1366.0,2018-06-21 11:14:56.659952,Website A,Website A
User 1392,14303,English,13,866.0,2018-06-21 11:05:09.748167,Website A,Website A
User 1385,14304,English,11,409.0,2018-06-21 10:37:33.593208,Website C,Website C
User 1291,14305,Spanish,27,982.0,2018-06-21 11:48:05.970805,Website A,Website A
User 1392,14306,English,28,1542.0,2018-06-21 11:02:46.662486,Website A,Website A
User 1385,14307,English,20,1674.0,2018-06-21 12:42:35.969457,Website A,Website A
User 1497,14308,English,23,1633.0,2018-06-21 12:22:18.513241,Website A,Website A
User 1478,14309,Italian,39,1073.0,2018-06-21 10:53:45.391920,Website A,Website A
User 1497,14310,English,7,500.0,2018-06-21 11:39:50.139192,Website A,Website A
User 1313,14311,German,29,1704.0,2018-06-21 11:29:26.194792,Website A,Website A
User 1497,14312,English,7,586.0,2018-06-21 10:48:36.126454,Website A,Website A
User 1435,14313,French,41,1580.0,2018-06-21 12:09:18.923680,Website A,Website A
User 1435,14314,French,17,1782.0,2018-06-21 12:29:39.847075,Website A,Website A
User 1478,14315,Italian,8,435.0,2018-06-21 11:30:50.277012,Website A,Website A
User 1478,14316,Italian,21,1297.0,2018-06-21 11:01:51.020756,Website A,Website A
User 1392,14317,English,11,918.0,2018-06-21 12:23:44.648780,Website A,Website A
User 1497,14318,English,4,272.0,2018-06-21 11:08:13.424357,Website A,Website A
User 1291,14319,Spanish,3,175.0,2018-06-21 11:58:14.304874,Website A,Website A
User 1435,14322,French,8,464.0,2018-06-21 12:33:59.699427,Website A,Website A
User 1392,14323,English,13,1224.0,2018-06-21 11:21:27.838422,Website E,Other
User 1478,14324,Italian,10,521.0,2018-06-21 12:31:10.095740,Website D,Website D
User 1497,14325,English,32,1304.0,2018-06-21 12:32:28.181307,Website A,Website A
User 1497,14326,English,12,868.0,2018-06-21 11:39:31.416871,Website B,Website B
User 1385,14327,English,12,646.0,2018-06-21 11:23:46.346179,Website A,Website A
User 1313,14328,German,6,298.0,2018-06-21 12:33:47.949822,Website A,Website A
User 1385,14329,English,21,2204.0,2018-06-21 11:36:16.152072,Website A,Website A
User 1392,14330,English,16,366.0,2018-06-21 11:43:14.829974,Website C,Website C
User 1478,14331,Italian,8,257.0,2018-06-21 10:52:58.842068,Website A,Website A
User 1478,14332,Italian,9,486.0,2018-06-21 12:32:19.713660,Website D,Website D
User 1392,14333,English,21,1205.0,2018-06-21 12:10:16.232524,Website A,Website A
User 1392,14335,English,14,762.0,2018-06-21 12:31:54.617063,Website D,Website D
User 1497,14336,English,22,1365.0,2018-06-21 12:00:43.432360,Website A,Website A
User 1385,14337,English,22,1429.0,2018-06-21 12:39:43.060169,Website G,Other
User 1385,14338,English,30,1571.0,2018-06-21 11:33:55.797123,Website A,Website A
User 1497,14339,English,13,1039.0,2018-06-21 12:07:26.291986,Website A,Website A
User 1291,14340,Spanish,43,1779.0,2018-06-21 12:57:20.411539,Website A,Website A
